Area,Year,Week,Cumulative_Week,Counts,Cumulative_Counts
WISCONSIN,2014,14,14,293,3533
WYOMING,2014,14,14,0,15
ALABAMA,2014,15,15,0,1192
ALASKA,2014,15,15,36,483
ARIZONA,2014,15,15,0,0
ARKANSAS,2014,15,15,360,3260
CALIFORNIA,2014,15,15,1301,17099
COLORADO,2014,15,15,0,4554
CONNECTICUT,2014,15,15,0,766
DELAWARE,2014,15,15,50,1103
FLORIDA,2014,15,15,0,13015
GEORGIA,2014,15,15,974,12409
HAWAII,2014,15,15,0,34
IDAHO,2014,15,15,0,476
ILLINOIS,2014,15,15,50,402
INDIANA,2014,15,15,186,2825
IOWA,2014,15,15,0,331
